Reg,Route,Start,End,BusName,Type,Seats,SeatType,MinFare,AddStopFare,Facilities,Stops,Departure,Arrival,TravelTime
TN31 AB 1001,R001,Chennai,Coimbatore,Southern Express,Ordinary,48,Seats,75,50,GPS,"Sriperumbudur, Vellore, Ambur, Krishnagiri, Dharmapuri, Salem, Bhavani, Perundurai, Avinashi",05:00,13:00,8h 00m
TN32 AB 1002,R002,Chennai,Madurai,Cauvery Cruiser,Express,54,Seats,80,55,"GPS, Charger","Chengalpattu, Tindivanam, Villupuram, Ulundurpet, Perambalur, Trichy, Manapparai, Dindigul",04:30,12:30,8h 00m
TN33 AB 1003,R003,Chennai,Tirunelveli,Marina Star,Deluxe,36,Berth,85,60,GPS,"Chengalpattu, Villupuram, Trichy, Dindigul, Virudhunagar, Kovilpatti, Kayathar",06:00,17:00,11h 00m
TN36 AB 1006,R006,Chennai,Coimbatore,Blue Horizon,Ordinary,48,Seats,75,50,"GPS, Charger","Sriperumbudur, Vellore, Ambur, Krishnagiri, Dharmapuri, Salem, Bhavani, Perundurai, Avinashi",05:00,13:00,8h 00m
TN37 AB 1007,R007,Chennai,Madurai,Emerald Coach,Express,54,Seats,80,55,GPS,"Chengalpattu, Tindivanam, Villupuram, Ulundurpet, Perambalur, Trichy, Manapparai, Dindigul",04:30,12:30,8h 00m
TN38 AB 1008,R008,Chennai,Tirunelveli,Skyline Express,Deluxe,36,Berth,85,60,"GPS, Charger","Chengalpattu, Villupuram, Trichy, Dindigul, Virudhunagar, Kovilpatti, Kayathar",06:00,17:00,11h 00m
TN31 AB 1011,R011,Chennai,Coimbatore,Lotus Travels,Ordinary,48,Seats,75,50,GPS,"Sriperumbudur, Vellore, Ambur, Krishnagiri, Dharmapuri, Salem, Bhavani, Perundurai, Avinashi",05:00,13:00,8h 00m
TN32 AB 1012,R012,Chennai,Madurai,Golden Arrow,Express,54,Seats,80,55,"GPS, Charger","Chengalpattu, Tindivanam, Villupuram, Ulundurpet, Perambalur, Trichy, Manapparai, Dindigul",04:30,12:30,8h 00m
TN33 AB 1013,R013,Chennai,Tirunelveli,Velan Express,Deluxe,36,Berth,85,60,GPS,"Chengalpattu, Villupuram, Trichy, Dindigul, Virudhunagar, Kovilpatti, Kayathar",06:00,17:00,11h 00m
TN36 AB 1016,R016,Chennai,Coimbatore,Metro Link,Ordinary,48,Seats,75,50,GPS,"Sriperumbudur, Vellore, Ambur, Krishnagiri, Dharmapuri, Salem, Bhavani, Perundurai, Avinashi",05:00,13:00,8h 00m
